timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597146229418,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146230422,14875,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146230422,76703,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146230422,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146231426,14933,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146231426,76695,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146231426,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146232431,12428,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146232431,76693,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146232431,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146233435,12029,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146233436,76685,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146233436,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146234444,19467,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146234444,76666,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146234444,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146235449,14018,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146235449,76659,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146235449,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146236449,13300,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146236449,76656,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146236449,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146237454,15957,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146237454,76658,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146237454,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146238456,15940,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146238456,76642,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146238456,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146239469,19850,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146239469,76633,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146239469,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146240481,40378,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146240482,76637,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146240482,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146241484,43198,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146241484,76737,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146241484,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146242485,15326,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146242485,76729,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146242485,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146243487,12444,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146243487,76703,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146243487,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146244488,15566,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146244488,76703,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146244488,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146245492,17094,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146245492,76697,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146245492,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146246501,13623,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
